,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
0,SPY261218C00200000,2024-03-18 12:13PM EDT,200.0,325.25,323.5,328.5,-3.75,-1.14%,3,79,48.72%
1,SPY261218C00220000,2024-01-29 1:30PM EDT,220.0,279.31,296.82,300.5,0.0,-,1,1,35.87%
2,SPY261218C00230000,2024-03-06 2:49PM EDT,230.0,294.5,298.0,303.0,0.0,-,1,9,46.31%
3,SPY261218C00240000,2024-01-10 4:01PM EDT,240.0,255.0,274.5,279.5,0.0,-,1,4,31.41%
4,SPY261218C00250000,2024-03-14 2:02PM EDT,250.0,281.02,281.0,286.0,0.0,-,2,23,44.56%
5,SPY261218C00255000,2024-03-12 9:45AM EDT,255.0,275.5,277.0,282.0,0.0,-,2,4,44.29%
6,SPY261218C00260000,2024-01-04 10:32AM EDT,260.0,227.89,250.58,255.0,0.0,-,2,2,21.06%
7,SPY261218C00265000,2024-03-13 10:12AM EDT,265.0,272.5,268.5,273.5,0.0,-,-,1,43.37%
8,SPY261218C00270000,2024-02-21 10:55AM EDT,270.0,247.37,264.92,269.0,0.0,-,2,6,42.75%
9,SPY261218C00275000,2024-03-06 4:55PM EDT,275.0,257.98,260.0,265.0,0.0,-,40,18,42.45%
10,SPY261218C00280000,2024-03-05 12:50PM EDT,280.0,250.0,256.0,261.0,0.0,-,1,4,42.14%
11,SPY261218C00285000,2024-03-06 2:55PM EDT,285.0,247.0,251.5,256.5,0.0,-,1,2,41.52%
12,SPY261218C00290000,2024-03-11 11:00AM EDT,290.0,244.34,247.5,253.0,0.0,-,1,10,41.49%
13,SPY261218C00295000,2024-01-23 11:28AM EDT,295.0,214.5,235.5,240.5,0.0,-,2,3,36.10%
14,SPY261218C00300000,2024-03-14 12:49PM EDT,300.0,240.46,239.5,244.0,0.0,-,5,104,40.25%
15,SPY261218C00305000,2024-01-24 12:49PM EDT,305.0,207.3,227.0,232.0,0.0,-,2,4,35.36%
16,SPY261218C00310000,2024-02-22 12:18PM EDT,310.0,222.06,231.0,236.0,0.0,-,2,76,39.56%
17,SPY261218C00315000,2024-01-12 11:51AM EDT,315.0,189.56,212.0,217.0,0.0,-,1,2,30.80%
18,SPY261218C00320000,2024-03-07 3:58PM EDT,320.0,224.35,223.3,227.5,0.0,-,1,12,38.60%
19,SPY261218C00325000,2024-03-08 10:57AM EDT,325.0,222.5,218.5,223.5,0.0,-,1,11,38.24%
20,SPY261218C00330000,2024-03-13 10:37AM EDT,330.0,217.0,215.24,219.5,0.0,-,6,23,37.87%
21,SPY261218C00335000,2024-03-12 1:39PM EDT,335.0,212.22,210.5,215.5,0.0,-,2,8,37.51%
22,SPY261218C00340000,2024-02-29 12:37PM EDT,340.0,200.0,206.5,211.5,0.0,-,1,49,37.13%
23,SPY261218C00345000,2024-02-23 2:28PM EDT,345.0,198.5,202.5,207.5,0.0,-,1,23,36.75%
